Test ID,Category,Feature,Scenario,Priority,Expected Result
EM-UI-15,UI,OrganizationStructurePage,3-tab shell (Branches/Designations/Employment Types) permission gating,Medium,"Each tab's New/Edit actions gated independently by its own .manage permission; GET/view always available"
EM-UI-16,UI,EmployeesPage,Partial-failure snackbar when chained PII/banking save fails after employee creation,Medium,"Employee record still created; snackbar reads ""Employee added, but failed to save X. Add it from Edit."""
EM-AP-01,API,POST /users,Contract check on success,High,"201 with created employee id and auto-assigned role reflected in user_roles"
EM-AP-02,API,GET /users,departmentId query param filtering,Medium,Only matching department's rows returned
EM-AP-03,API,GET /users/:id,"Contract check across permission combinations (self, view.all, view.team, pii.manage, payroll.assign)",High,Correct field set merged per caller's held permissions
EM-AP-04,API,PATCH /users/:id,Verify join-alias fields/children/expanded/_t/password stripped from payload before persisting,Medium,Extraneous fields ignored without error
EM-AP-05,API,DELETE /users/:id,Contract check on cascade behavior,High,"All documented child rows removed transactionally; response 200/204"
EM-AP-06,API,PATCH /users/:id/status,Contract check incl. exit_date handling,Medium,exit_date set only for 'exited' status; nulled otherwise
EM-AP-07,API,PATCH /users/:id/unlock,Contract check,Medium,failed_login_attempts and locked_until reset correctly
EM-AP-08,API,PATCH /users/:id/reset-password,Contract check,High,New password hash persisted; old password invalidated
EM-AP-09,API,PATCH /users/:id/pii,Contract check,High,Only Aadhaar/PAN fields affected
EM-AP-10,API,PATCH /users/:id/banking,Contract check,High,Only the 6 banking fields affected
EM-AP-11,API,PUT /users/:id/roles,Full-replace contract check,High,Prior user_roles rows removed; new set inserted atomically
EM-AP-12,API,Designations/Employment Types lookup router,Full GET/POST/PATCH/DELETE contract,High,Matches generic lookupSchema and referenced-delete-protection behavior
EM-AP-13,API,Branches (locations),Full CRUD contract,High,Matches branchSchema field set
EM-AP-14,API,Departments,Create/Delete contract; verify no PATCH route exists,Medium,POST/DELETE work; PATCH returns 404/405
EM-DB-01,Database Validation,users.status,Insert/update to a value outside active/disabled/exited,High,CK_users_status CHECK constraint violation
EM-DB-02,Database Validation,users.aadhaar_number,Insert a duplicate non-null Aadhaar value,High,"UQ_users_aadhaar_number filtered unique index violation; verify constraint is NOT tenant-scoped (cross-tenant collision test)"
EM-DB-03,Database Validation,users.pan_number,Insert a duplicate non-null PAN value,High,"UQ_users_pan_number filtered unique index violation; same cross-tenant scope caveat as Aadhaar"
EM-DB-04,Database Validation,Org structure tables,Insert duplicate (tenant_id, name) into designations/employment_types/locations/departments,High,UNIQUE(tenant_id, name) violation
EM-DB-05,Database Validation,users FK columns,Insert invalid designation_id/employment_type_id/location_id/manager_id/department_id,Medium,FK constraint violation
EM-DB-06,Database Validation,Hard delete cascade,Delete a user with existing notifications/attendance/leaves/refresh_tokens/user_roles rows,Critical,All related rows removed in the same transaction; direct reports' manager_id set to NULL
EM-DB-07,Database Validation,Dead org-structure tables,Verify cost_centers/employee_categories tables receive no new data via any reachable path,Medium,"Tables remain static/orphaned — confirms no leftover write path exists"
EM-DB-08,Database Validation,employee_salary_assignments banking columns,Confirm the 4 old banking columns were dropped by migration 043 and no code references them,Medium,Columns absent; no runtime errors referencing dropped columns
EM-DB-09,Database Validation,Plaintext storage,Inspect users.aadhaar_number/pan_number/bank_* columns,Critical,Stored as plain NVARCHAR with no encryption — confirmed security finding
EM-SC-01,Security,PII/Banking exposure,Verify Aadhaar/PAN/full bank account number are returned unmasked to any caller holding the gating permission,Critical,"No masking (e.g. no partial ""****1234"" display) anywhere in API or UI — flag as a finding"
EM-SC-02,Security,Cross-tenant PII collision,Attempt to create/update an Aadhaar or PAN value already used by an employee in a DIFFERENT tenant,High,"Blocked by the global (non-tenant-scoped) unique index — verify this cross-tenant blocking behavior is understood/accepted, since it could allow one tenant's create attempt to fail because of another tenant's data"
EM-SC-03,Security,Password reset scoping,"Call authRepo.updateUserPassword-backed reset endpoint with a crafted/foreign userId, relying only on route-layer tenant scoping",Critical,Route-layer checks must prevent cross-tenant password reset since the repo call itself is not tenant-scoped
EM-SC-04,Security,Injection,SQL injection payloads in employee name/search/org-structure name fields,Critical,Parameterized queries prevent injection
EM-SC-05,Security,XSS,"<script> payload in employee name, designation, or notes-like text fields",High,Sanitized/escaped on render in Employee Directory and Profile pages
EM-SC-06,Security,Privilege separation,"Caller with only users.manage attempts /pii, /banking, /reset-password, /unlock, /roles",Critical,All five blocked with 403 despite general edit rights — confirms deliberate permission segregation
EM-SC-07,Security,Field-level leakage,"Compare GET /:id response for a caller without pii/banking permission vs with it",High,Fields are entirely absent from the JSON (not null/blank) when the caller lacks permission — no leakage via presence
EM-SC-08,Security,Self-lockout,Attempt to bypass the self-status-change block via a different endpoint or bulk action,High,No alternate path allows a user to disable/exit their own account
EM-SC-09,Security,Password hashing,Verify bcrypt cost factor on admin-reset passwords,Medium,Cost factor 10 confirmed
EM-PF-01,Performance,GET /users,Large employee count with users.view.all scope,Medium,Response time within SLA; no full-table scan degradation
EM-PF-02,Performance,GET /users,users.view.team recursive manager-hierarchy walk on a deep org chart,Medium,Recursive resolution completes within SLA even for many management levels
EM-PF-03,Performance,CSV Export,Large employee list export,Low,Export completes within SLA without blocking the UI
EM-PF-04,Performance,DELETE /users/:id,Hard delete of a user with extensive attendance/leave history,High,Cascading transaction completes within SLA without lock contention
EM-PF-05,Performance,Org structure GET,Designations/Employment Types/Branches list under frequent unguarded calls,Low,No measurable degradation from being open to all authenticated users
EM-PM-01,Permission Testing,View scoping,Verify users.view.directory / .team / .all precedence and correct scoping,Critical,".all overrides .team overrides .directory; each returns the documented scope exactly"
EM-PM-02,Permission Testing,users.manage,Verify required for POST/PATCH/DELETE/status endpoints,Critical,All blocked without this permission
EM-PM-03,Permission Testing,users.password.reset,Verify independent from users.manage,High,A role with users.manage alone cannot reset passwords
EM-PM-04,Permission Testing,users.unlock,Verify independent from users.manage and users.password.reset,High,A role with either of those alone cannot unlock accounts
EM-PM-05,Permission Testing,users.pii.manage,Verify independent gate for Aadhaar/PAN read and write,Critical,Not implied by users.manage or users.view.all
EM-PM-06,Permission Testing,payroll.assign for banking,Verify this payroll permission (not a dedicated employees.banking.manage) gates banking read/write,High,Confirmed reused permission — flag as intentional design to validate with stakeholders
EM-PM-07,Permission Testing,roles.manage,Verify required for PUT /:id/roles and all role CRUD/permission-editing,Critical,Blocked without this permission
EM-PM-08,Permission Testing,locations.manage vs locations.view,Verify view is open to all roles (029 backfill) while mutation requires .manage,Medium,GET succeeds for any authenticated user; POST/PATCH/DELETE require locations.manage
EM-PM-09,Permission Testing,designations.manage / employment-types.manage,Verify GET is open to all while mutation requires the specific .manage permission,Medium,Confirmed per-entity split between read and write access
EM-PM-10,Permission Testing,departments.manage,Verify required for create/delete,Medium,Blocked without this permission
EM-PM-11,Permission Testing,Removed permissions,Confirm cost-centers.manage and employee-categories.manage are no longer grantable via role management UI/API,Medium,Neither permission exists in the seed/permissions list post migrations 041/042
EM-PM-12,Permission Testing,Least-privilege directory view,Role with only users.view.directory attempts to read PII/banking fields via any response,High,Fields never present regardless of another caller's data in the same list/detail response
